244 24 25 21 25 244 25 244 24 25 21 25 244 25 244 25 244 24 25 244 24 25 21 25 244 25 42  = 5
269  = 13
226 226 226 226  = 130
71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274  = 33
244 24 25 21 25 244 25 244 24 25 21 25 244 25 244 24 25 21 25 244 25 42 244 24 25 21 25 244 25 42 244 24 25 21 25 244 25 42 244 24 25 21 25 244 25 42  = 8
37 21 21 21 42 42  = 51
165  = 740
37 21 21 21 24 25 42  = 176
0 21  = 177
215 215 215 215 215 215 215 215 215 215 215 215  = 90
244 0 244  = 22
215 215 215 215 215 215 215 215 215  = 174
46 44  = 24
71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123 71 123 71 123 123 123  = 213
150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150  = 53
244 24 25 21 25 244 25 244 24 25 21 25 244 25 244 24 25 21 25 244 25 42  = 37
165 79 76 71 123  = 145
219 150 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115 219 121 114 115  = 12
123 123 123  = 101
271 271 271 271  = 84
37 21 21 21 21 0 21 24 25 42  = 94
201  = 40
37 21 21 21 21 24 25 42  = 36
243  = 254
226 226 226 226 226 226  = 62
105 105 105 121  = 584
150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150  = 27
274 73  = 173
165 79 76 106  = 56
244 24 25 244 0  = 1
71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274 71 123 123 71 123 103 125 150 274  = 265
226 226 226 226 226 226 226 226  = 20
105 105 105 105 121  = 370
